Wild Lifespan,Gene(s),Mutant Lifespan
13.6,hif-1,16.1
13.6,hif-1,16.1
13.6,hif-1,16.1
14.0,hif-1,17.3
14.0,egl-9,14.5
14.6,egl-9,14.5
14.0,pha-4,12.5
14.4,ire-1,10.0
12.4,ire-1,6.6
14.9,xbp-1,13.5
12.5,rsks-1,15.0
12.7,rsks-1,15.2
13.6,rsks-1,15.2
12.8,rsks-1,14.5
13.6,aakg-4,12.9
12.8,aakg-4,12.9
13.6,aakg-4,12.9
12.8,aakg-4,12.9
13.6,aakg-4,12.9
12.8,aakg-4,12.9
12.8,rsks-1,14.7
13.0,rsks-1,15.2
12.8,aak-2,10.2
13.0,aak-2,11.3
12.8,aak-2,10.2
13.0,aak-2,11.3
12.8,aak-2,10.2
13.0,aak-2,11.3
12.8,rsks-1,15.1
13.0,rsks-1,15.4
12.8,glp-1,11.1
13.0,glp-1,10.2
12.8,glp-1,11.1
13.0,glp-1,10.2
12.8,glp-1,11.1
13.0,glp-1,10.2
23.8,daf-18,19.5
23.8,pptr-1,22.8
23.7,daf-18,18.4
23.7,pptr-1,22.3
13.5,nhr-80,12.0
16.5,nhr-80,15.0
19.5,cyc-1,30.0
16.5,cyc-1,20.0
13.0,fat-2,15.5
13.0,fat-2,15.5
18.0,nhr-80,20.0
18.5,nhr-80,17.5
19.9,tcer-1,18.7
19.9,daf-16,16.7
19.5,tcer-1,19.0
19.5,daf-16,16.7
20.8,tcer-1,19.1
20.8,daf-16,17.0
19.5,tcer-1,17.2
19.5,daf-16,16.7
18.6,tcer-1,21.5
18.6,tcer-1,21.5
18.5,tcer-1,21.2
18.5,tcer-1,21.2
21.4,daf-2,34.6
21.4,daf-2,34.6
21.4,daf-2,34.6
21.4,daf-2,34.6
21.4,daf-2,34.6
21.4,daf-2,34.6
21.4,daf-2,34.6
21.4,daf-2,34.6
21.4,daf-2,34.6
21.4,daf-2,34.6
21.4,daf-2,34.6
21.4,daf-2,34.6
21.4,daf-2,34.6
21.4,daf-2,34.6
21.9,daf-2,38.1
21.9,daf-2,38.1
21.9,daf-2,38.1
21.9,daf-2,38.1
21.9,daf-2,38.1
21.9,daf-2,38.1
21.9,daf-2,38.1
21.9,daf-2,38.1
21.9,daf-2,38.1
21.9,daf-2,38.1
21.9,daf-2,38.1
21.9,daf-2,38.1
21.9,daf-2,38.1
21.9,daf-2,38.1
20.96,eat-2,26.71
20.96,eat-2,26.71
20.96,eat-2,26.71
18.89,eat-2,24.41
18.89,eat-2,24.41
15.72,eat-2,22.27
14.58,nhr-62,17.49
14.58,nhr-62,17.49
16.49,nhr-62,16.29
16.49,nhr-62,16.29
14.92,nhr-62,17.25
15.92,nhr-62,17.54
14.9,daf-2,44.6
14.9,daf-2,44.6
19.5,daf-2,53.5
21.4,daf-2,36.3
21.4,daf-2,36.3
16.5,daf-2,42.0
16.5,daf-2,42.0
17.5,daf-2,45.2
17.5,daf-2,45.2
17.5,daf-2,32.8
17.5,daf-2,32.8
21.4,daf-2,27.7
14.9,daf-2,29.7
14.9,daf-2,29.7
18.6,daf-2,44.6
18.6,daf-2,44.6
20.1,daf-2,38.9
20.1,daf-2,38.9
20.2,daf-2,42.5
20.2,daf-2,42.5
20.2,daf-2,27.5
20.2,daf-2,27.5
19.8,daf-2,41.5
20.4,daf-2,44.6
20.4,daf-2,32.3
16.4,daf-2,47.6
19.6,daf-2,51.0
19.6,daf-2,35.2
18.2,daf-2,50.4
20.4,daf-2,44.6
20.4,daf-2,32.3
20.4,daf-2,44.6
20.4,daf-2,32.3
19.8,daf-2,46.0
19.8,daf-2,31.5
16.1,daf-2,36.0
16.1,daf-2,36.0
16.1,daf-2,36.0
14.7,daf-2,28.1
14.7,daf-2,28.1
14.7,daf-2,28.1
17.5,daf-2,28.1
16.2,daf-2,30.1
19.1,daf-2,38.2
18.1,daf-2,40.4
14.9,isp-1,22.2
14.9,isp-1,22.2
17.5,isp-1,22.3
18.6,isp-1,22.9
20.2,isp-1,24.2
20.1,isp-1,23.4
21.4,eat-2,24.0
17.5,eat-2,24.3
18.6,eat-2,24.2
20.1,eat-2,24.6
20.44,daf-2,29.42
20.44,daf-2,29.42
20.44,daf-2,29.42
20.44,daf-2,39.39
20.44,daf-2,39.39
20.44,daf-2,39.39
20.44,rrf-3,19.53
20.44,rrf-3;daf-2,38.62
13.8,rrf-3,12.9
13.8,rrf-3;skn-1,7.2
13.8,rrf-3;skn-1,9.3
13.8,rrf-3;skn-1,12.0
13.8,sgk-1,22.6
13.8,sgk-1,22.6
16.33,daf-2,50.75
16.16,daf-2,50.96
16.33,daf-16,11.08
16.16,daf-16,11.05
16.24,daf-16,9.98
16.33,akt-1,25.99
16.16,akt-1,30.0
16.24,akt-1,29.02
16.33,akt-2,18.0
16.16,akt-2,24.63
16.33,sgk-1,20.68
16.16,sgk-1,21.4
16.33,sir-2.1,21.33
16.16,sir-2.1,20.39
16.33,rrf-1,17.05
16.33,glp-1,14.69
16.16,glp-1,14.72
16.24,glp-1,14.71
10.95,rrf-1,12.15
10.95,rrf-1,12.3
10.95,rrf-1,11.91
10.95,rrf-1,12.15
10.95,rrf-1,12.3
10.95,rrf-1,11.91
10.95,rrf-1,12.15
10.95,rrf-1,12.3
10.95,rrf-1,11.91
18.5,daf-2,26.5
18.5,daf-2,26.5
18.5,daf-2,26.5
26.5,daf-2,38.0
22.1,daf-2,37.4
21.5,daf-2,34.3
29.2,daf-2,43.6
24.9,daf-2,33.4
26.6,daf-2,36.7
26.7,daf-2,35.6
22.3,daf-2,35.1
22.3,daf-2,35.1
19.8,daf-2,30.5
25.7,daf-2,41.8
23.7,daf-2,38.0
22.1,daf-2,26.9
27.0,daf-2,35.8
23.9,daf-2,32.1
25.4,daf-2,39.1
23.6,daf-2,34.8
23.3,daf-16;daf-2,17.0
23.3,daf-2,41.7
24.5,daf-2,47.8
24.5,daf-2,32.9
24.5,daf-2;skn-1,19.9
22.9,daf-2,38.9
22.9,daf-2,33.4
22.9,daf-2;skn-1,21.6
11.5,fat-5,13.9
14.1,eak-7,18.1
14.7,eak-7,19.4
14.7,eak-7,19.4
14.7,eak-7,18.0
14.7,eak-7,18.0
14.7,eak-7,18.0
14.7,akt-1,26.5
15.8,eak-7,20.8
18.3,eak-7,23.1
15.3,eak-7,20.1
18.3,eak-7,20.1
15.0,eak-7,17.8
15.0,eak-7,17.8
