,Wild Lifespan,Gene(s),Mutant Lifespan
0,13.6,hif-1,16.1
1,14.0,hif-1,17.3
2,14.0,egl-9,14.5
3,14.6,egl-9,14.5
4,14.0,pha-4,12.5
5,14.4,ire-1,10.0
6,12.4,ire-1,6.6
7,14.9,xbp-1,13.5
8,12.5,rsks-1,15.0
9,12.7,rsks-1,15.2
10,13.6,rsks-1,15.2
11,12.8,rsks-1,14.5
12,13.6,aakg-4,12.9
13,12.8,aakg-4,12.9
14,12.8,rsks-1,14.7
15,13.0,rsks-1,15.2
16,12.8,aak-2,10.2
17,13.0,aak-2,11.3
18,12.8,rsks-1,15.1
19,13.0,rsks-1,15.4
20,12.8,glp-1,11.1
21,13.0,glp-1,10.2
22,23.8,daf-18,19.5
23,23.8,pptr-1,22.8
24,23.7,daf-18,18.4
25,23.7,pptr-1,22.3
26,13.5,nhr-80,12.0
27,16.5,nhr-80,15.0
28,19.5,cyc-1,30.0
29,16.5,cyc-1,20.0
30,13.0,fat-2,15.5
31,18.0,nhr-80,20.0
32,18.5,nhr-80,17.5
33,19.9,tcer-1,18.7
34,19.9,daf-16,16.7
35,19.5,tcer-1,19.0
36,19.5,daf-16,16.7
37,20.8,tcer-1,19.1
38,20.8,daf-16,17.0
39,19.5,tcer-1,17.2
40,18.6,tcer-1,21.5
41,18.5,tcer-1,21.2
42,21.4,daf-2,34.6
43,21.9,daf-2,38.1
44,20.96,eat-2,26.71
45,18.89,eat-2,24.41
46,15.72,eat-2,22.27
47,14.58,nhr-62,17.49
48,16.49,nhr-62,16.29
49,14.92,nhr-62,17.25
50,15.92,nhr-62,17.54
51,14.9,daf-2,44.6
52,19.5,daf-2,53.5
53,21.4,daf-2,36.3
54,16.5,daf-2,42.0
55,17.5,daf-2,45.2
56,17.5,daf-2,32.8
57,21.4,daf-2,27.7
58,14.9,daf-2,29.7
59,18.6,daf-2,44.6
60,20.1,daf-2,38.9
61,20.2,daf-2,42.5
62,20.2,daf-2,27.5
63,19.8,daf-2,41.5
64,20.4,daf-2,44.6
65,20.4,daf-2,32.3
66,16.4,daf-2,47.6
67,19.6,daf-2,51.0
68,19.6,daf-2,35.2
69,18.2,daf-2,50.4
70,19.8,daf-2,46.0
71,19.8,daf-2,31.5
72,16.1,daf-2,36.0
73,14.7,daf-2,28.1
74,17.5,daf-2,28.1
75,16.2,daf-2,30.1
76,19.1,daf-2,38.2
77,18.1,daf-2,40.4
78,14.9,isp-1,22.2
79,17.5,isp-1,22.3
80,18.6,isp-1,22.9
81,20.2,isp-1,24.2
82,20.1,isp-1,23.4
83,21.4,eat-2,24.0
84,17.5,eat-2,24.3
85,18.6,eat-2,24.2
86,20.1,eat-2,24.6
87,20.44,daf-2,29.42
88,20.44,daf-2,39.39
89,20.44,rrf-3,19.53
90,20.44,rrf-3;daf-2,38.62
91,13.8,rrf-3,12.9
92,13.8,rrf-3;skn-1,7.2
93,13.8,rrf-3;skn-1,9.3
94,13.8,rrf-3;skn-1,12.0
95,13.8,sgk-1,22.6
96,16.33,daf-2,50.75
97,16.16,daf-2,50.96
98,16.33,daf-16,11.08
99,16.16,daf-16,11.05
100,16.24,daf-16,9.98
101,16.33,akt-1,25.99
102,16.16,akt-1,30.0
103,16.24,akt-1,29.02
104,16.33,akt-2,18.0
105,16.16,akt-2,24.63
106,16.33,sgk-1,20.68
107,16.16,sgk-1,21.4
108,16.33,sir-2.1,21.33
109,16.16,sir-2.1,20.39
110,16.33,rrf-1,17.05
111,16.33,glp-1,14.69
112,16.16,glp-1,14.72
113,16.24,glp-1,14.71
114,10.95,rrf-1,12.15
115,10.95,rrf-1,12.3
116,10.95,rrf-1,11.91
117,18.5,daf-2,26.5
118,26.5,daf-2,38.0
119,22.1,daf-2,37.4
120,21.5,daf-2,34.3
121,29.2,daf-2,43.6
122,24.9,daf-2,33.4
123,26.6,daf-2,36.7
124,26.7,daf-2,35.6
125,22.3,daf-2,35.1
126,19.8,daf-2,30.5
127,25.7,daf-2,41.8
128,23.7,daf-2,38.0
129,22.1,daf-2,26.9
130,27.0,daf-2,35.8
131,23.9,daf-2,32.1
132,25.4,daf-2,39.1
133,23.6,daf-2,34.8
134,23.3,daf-16;daf-2,17.0
135,23.3,daf-2,41.7
136,24.5,daf-2,47.8
137,24.5,daf-2,32.9
138,24.5,daf-2;skn-1,19.9
139,22.9,daf-2,38.9
140,22.9,daf-2,33.4
141,22.9,daf-2;skn-1,21.6
142,11.5,fat-5,13.9
143,14.1,eak-7,18.1
144,14.7,eak-7,19.4
145,14.7,eak-7,18.0
146,14.7,akt-1,26.5
147,15.8,eak-7,20.8
148,18.3,eak-7,23.1
149,15.3,eak-7,20.1
150,18.3,eak-7,20.1
151,15.0,eak-7,17.8
152,15.0,akt-1,21.3
153,14.0,eak-7,17.2
154,13.2,eak-7,18.1
155,14.6,eak-7,20.8
156,18.6,eak-7,20.6
157,16.5,eak-7,21.0
158,14.7,eak-7,17.5
159,14.9,eak-7,17.2
160,20.0,daf-2,24.2
161,20.0,daf-2,36.7
162,20.0,daf-2,43.2
163,20.0,daf-16,17.1
164,19.4,daf-2,32.6
165,20.0,daf-16,14.0
166,20.0,sir-2.1,16.0
167,20.0,daf-2,41.0
168,20.0,sir-2.1,30.0
169,14.6,daf-2,28.5
170,14.6,daf-2,30.7
171,13.3,daf-2,33.9
172,16.1,daf-2,24.1
173,15.5,daf-2,29.6
174,18.1,daf-2,30.3
175,14.2,elt-3,12.6
176,12.5,eat-2,16.4
177,12.3,eat-2,14.3
178,15.5,daf-2,23.5
179,14.0,daf-2,34.8
180,17.2,eat-2,28.3
181,18.7,wwp-1,23.1
182,18.7,wwp-1,21.1
183,18.7,wwp-1,21.5
184,18.1,wwp-1,22.5
185,19.4,wwp-1,21.5
186,18.4,isp-1,26.2
187,18.8,eat-2,23.4
188,21.7,eat-2,28.2
189,21.7,isp-1,32.4
190,18.6,wwp-1,21.1
191,18.74,daf-2,46.39
192,16.87,daf-2,47.3
193,16.36,daf-16,13.86
194,17.04,daf-16,13.26
195,16.87,daf-3,15.93
196,18.99,daf-3,17.42
197,18.99,daf-5,14.71
198,18.99,daf-5,16.75
199,18.99,daf-2;daf-3,49.86
200,18.99,daf-2;daf-3,50.88
201,16.24,eat-2,28.94
202,19.02,eat-2,26.8
203,19.02,eat-2,24.16
204,16.24,eat-2,22.98
205,16.65,eat-2,28.76
206,16.24,eat-2,25.44
207,19.02,mev-1,14.36
208,16.24,mev-1,17.76
209,19.02,gas-1,19.27
210,16.56,gas-1,14.94
211,16.56,clk-1,33.04
212,16.41,clk-1,24.98
213,16.56,skn-1,17.86
214,18.21,skn-1,18.25
215,17.48,nhr-49,16.22
216,17.49,nhr-49,20.35
217,17.48,nhr-8,17.53
218,17.49,nhr-8,19.2
219,17.48,aha-1,16.69
220,17.49,aha-1,15.93
221,17.48,ahr-1,16.16
222,17.49,ahr-1,18.14
223,17.48,ahr-1,18.43
224,17.49,ahr-1,17.1
225,17.48,pgp-3,17.16
226,17.49,pgp-3,19.77
227,17.48,pgp-3,17.56
228,17.49,pgp-3,16.93
229,19.69,hsf-1,17.85
230,18.25,hsf-1,19.11
231,17.48,eat-2,24.38
232,18.28,eat-2,24.4
233,18.37,eat-2,24.4
234,17.59,eat-2,24.62
235,19.02,rde-1,20.01
236,16.24,rde-1,16.58
237,16.56,rde-1,20.01
238,19.6,rde-1,20.01
239,18.28,rde-1,16.58
240,20.91,nhr-49,12.91
241,19.6,nhr-49,13.45
242,20.91,daf-22,20.34
243,19.6,daf-22,18.23
244,12.76,daf-2,35.2
245,11.91,daf-2,31.74
246,18.76,daf-2,28.34
247,18.74,daf-2,30.25
248,20.34,glp-1,24.83
249,20.49,glp-1,24.67
250,25.1,sgk-1,28.5
251,25.1,akt-1,30.0
252,20.7,sgk-1,21.5
253,20.7,akt-1,32.2
254,16.6,sgk-1,15.9
255,20.3,akt-1,24.1
256,18.7,hcf-1,20.6
257,16.5,hsf-1,13.5
258,18.0,hsf-1,14.9
259,17.2,hsf-1,13.1
260,18.5,hsb -1,29.6
261,18.8,hsb -1,31.1
262,19.0,hsb -1,29.1
263,18.2,hsb -1,30.8
264,19.5,hsb -1,27.8
265,17.1,hsb -1,26.6
266,16.8,ddl-1,22.3
267,13.05,ddr-2,13.04
268,15.97,ddr-2,16.64
269,14.04,ddr-2,14.79
270,18.56,ddr-2,18.87
271,19.02,ddr-2,20.11
272,17.22,ddr-2,17.14
273,16.56,ddr-2,17.06
274,16.49,pha-4,14.7
275,14.04,pha-4,16.58
276,17.41,sams-1,16.1
277,18.44,sams-1,17.33
278,18.76,rab-10,16.59
279,21.68,rab-10,17.98
280,21.68,sams-1,17.83
281,12.0,age-1;fer-15,24.0
282,12.0,daf-2,29.0
283,19.0,daf-2,39.0
284,12.0,age-1;fer-15,27.0
285,14.0,age-1;fer-15,23.0
286,25.0,age-1;fer-15,31.0
287,14.69,npr-1,16.2
288,14.31,npr-1,16.32
289,14.89,npr-1,17.74
290,14.39,npr-1,16.11
291,14.69,gcy-35;npr-1,20.24
292,14.31,gcy-35;npr-1,23.61
293,14.89,gcy-35;npr-1,22.54
294,14.39,gcy-35;npr-1,20.06
295,13.73,npr-1,18.49
296,13.44,npr-1,17.95
297,14.43,npr-1,14.7
298,13.44,npr-1,15.15
299,13.73,npr-1,15.21
300,13.76,npr-1,15.54
301,13.32,npr-1,13.72
302,12.57,npr-1,15.2
303,16.34,npr-1,16.94
304,15.36,npr-1,16.97
305,15.43,npr-1,18.77
306,13.76,gcy-35;npr-1,19.26
307,13.32,gcy-35;npr-1,18.43
308,12.57,gcy-35;npr-1,22.46
309,10.36,npr-1,12.32
310,11.54,npr-1,12.17
311,12.38,npr-1,12.78
312,14.73,npr-1,19.18
313,13.53,npr-1,17.69
314,14.15,npr-1,13.35
315,19.74,npr-1,19.76
316,20.49,npr-1,21.4
317,21.8,npr-1,22.43
318,17.53,npr-1,20.69
319,18.19,npr-1,24.97
320,20.73,npr-1,20.74
321,13.85,npr-1,15.18
322,13.51,npr-1,16.48
323,13.26,npr-1,15.0
324,13.85,gcy-35;npr-1,18.69
325,13.51,gcy-35;npr-1,18.65
326,13.26,gcy-35;npr-1,18.81
327,13.85,daf-16;npr-1,16.03
328,13.51,daf-16;npr-1,13.86
329,13.26,daf-16;npr-1,14.0
330,13.85,daf-2,30.82
331,13.51,daf-2,31.39
332,13.26,daf-2,31.68
333,14.69,npr-1,16.03
334,15.41,npr-1,18.78
335,14.03,npr-1,14.07
336,13.67,npr-1,16.23
337,13.48,npr-1,14.12
338,14.21,npr-1,18.78
339,13.27,npr-1,14.07
340,14.69,gcy-35;npr-1,22.13
341,14.21,gcy-35;npr-1,23.08
342,13.27,gcy-35;npr-1,21.97
343,13.48,npr-1,14.07
344,15.41,npr-1,16.23
345,14.03,npr-1,14.12
346,13.48,gcy-35;npr-1,21.97
347,15.41,gcy-35;npr-1,20.59
348,14.03,gcy-35;npr-1,22.1
349,31.0,daf-2,49.0
350,14.7,sgk-1,24.0
351,17.5,sgk-1,21.1
352,14.7,akt-1,15.5
353,14.7,akt-1;akt-2,17.5
354,14.7,daf-16,11.4
355,18.7,trpa-1,23.8
356,18.7,trpa-1,21.1
357,22.8,trpa-1,25.0
358,19.8,daf-16,14.8
359,19.9,daf-16,17.1
360,19.6,sgk-1,15.6
361,19.7,sgk-1,17.4
362,20.4,sgk-1,25.8
363,19.8,sgk-1,24.4
364,21.6,skn-1,16.4
365,21.37,pha-4,14.13
366,21.25,hsf-1,11.6
367,15.35,cmk-1,16.42
368,19.65,unc-43,19.31
369,18.66,trpa-1,17.3
370,27.18,trpa-1,23.75
371,20.0,trpa-1,17.0
372,14.37,trpa-1,15.2
373,20.66,akt-1,26.0
374,18.18,akt-2,25.75
375,19.33,jnk-1,15.77
376,20.55,trpa-1,17.5
377,20.55,pkc-2,16.66
378,21.09,daf-2,41.09
379,10.2,vang-1,14.3
380,21.4,vang-1,25.6
381,12.8,rrf-1,12.9
382,17.3,sea-2,20.1
383,17.3,sea-2;daf-2,36.7
384,20.9,daf-9,27.7
385,23.9,daf-9,28.4
386,22.8,daf-9,33.8
387,12.6,daf-15; dpy-20,16.4
388,17.39,mdl-1,26.6
389,17.39,mxl-1,24.5
390,13.5,mxl-1,24.5
391,13.5,daf-16,15.0
392,13.5,mxl-2,14.2
393,14.8,daf-2,46.0
394,20.0,daf-2,46.0
395,20.0,mxl-1,24.8
396,20.0,mxl-1;daf-2,65.0
397,17.85,mxl-1,24.64
398,17.85,mxl-2,12.14
399,20.0,eat-2,30.0
400,12.67,rrf-3;daf-16,10.25
401,11.73,rrf-3;daf-16,10.25
402,17.1,hlh-30,17.1
403,18.7,hlh-30,16.7
404,21.6,hlh-30,19.5
405,14.4,hlh-30,15.7
406,16.0,hlh-30,16.0
407,19.2,hlh-30,20.5
408,17.6,hlh-30,18.8
409,14.16,glp-1,21.11
410,17.5,glp-1,25.9
411,16.8,glp-1,24.8
412,16.1,glp-1,22.0
413,17.42,glp-1,17.42
414,16.7,glp-1,19.4
415,17.9,glp-1,17.3
416,15.8,glp-1,20.5
417,17.22,rsks-1,20.83
418,17.9,rsks-1,21.5
419,17.3,rsks-1,21.4
420,15.4,rsks-1,20.8
421,16.3,clk-1,24.6
422,14.4,isp-1,25.7
423,15.3,clk-1,21.4
424,15.8,isp-1,23.7
425,14.4,clk-1,17.9
426,16.3,isp-1,26.3
427,18.1,clk-1,33.0
428,18.1,isp-1,25.4
429,16.8,cyc-1,31.9
430,19.6,cco-1,30.3
431,15.3,daf-1,40.9
432,15.8,eat-2,27.5
433,15.3,osm-5,21.5
434,15.3,glp-1,21.6
435,15.3,isp-1,23.7
436,15.3,isp-1,25.7
437,23.6,ifg-1,29.0
438,22.9,ifg-1,28.3
439,22.6,ifg-1,27.2
440,19.7,aak-2,15.7
441,25.4,daf-16,15.6
442,20.3,ifg-1,27.8
443,20.3,daf-16,13.1
444,20.3,aak-2,17.1
445,20.3,rsks-1,28.1
446,20.3,daf-2,49.9
447,20.3,isp-1,29.3
448,20.3,eat-2,31.3
449,16.5,mes-1,24.8
450,16.6,mes-1,17.5
451,14.5,mes-1,15.5
452,18.7,glp-1,22.3
453,18.8,glp-1,22.6
454,20.2,glp-1,21.7
455,18.3,glp-1,21.9
456,17.9,glp-1,24.0
457,19.2,glp-1,20.3
458,18.5,glp-1,24.2
459,20.4,glp-1,24.2
460,18.6,glp-1,23.6
461,19.7,glp-1,21.7
462,19.2,LPL-4,24.0
463,18.4,LPL-4,22.7
464,18.5,LPL-4,21.4
465,18.0,LPL-4,19.2
466,19.0,LPL-4,23.5
467,11.3,daf-10,16.3
468,12.1,daf-10,17.7
