Gene(s),Wild Lifespan,Mutant Lifespan,Percent Change
hif-1,13.6,16.1,18.382
hif-1,13.6,16.1,18.382
hif-1,13.6,16.1,18.382
hif-1,14.0,17.3,23.571
egl-9,14.0,14.5,3.571
egl-9,14.6,14.5,-0.685
pha-4,14.0,12.5,-10.714
ire-1,14.4,10.0,-30.556
ire-1,12.4,6.6,-46.774
xbp-1,14.9,13.5,-9.396
rsks-1,12.5,15.0,20.0
rsks-1,12.7,15.2,19.685
rsks-1,13.6,15.2,11.765
rsks-1,12.8,14.5,13.281
aakg-4,13.6,12.9,-5.147
aakg-4,12.8,12.9,0.781
aakg-4,13.6,12.9,-5.147
aakg-4,12.8,12.9,0.781
aakg-4,13.6,12.9,-5.147
aakg-4,12.8,12.9,0.781
rsks-1,12.8,14.7,14.844
rsks-1,13.0,15.2,16.923
aak-2,12.8,10.2,-20.313
aak-2,13.0,11.3,-13.077
aak-2,12.8,10.2,-20.313
aak-2,13.0,11.3,-13.077
aak-2,12.8,10.2,-20.313
aak-2,13.0,11.3,-13.077
rsks-1,12.8,15.1,17.969
rsks-1,13.0,15.4,18.462
glp-1,12.8,11.1,-13.281
glp-1,13.0,10.2,-21.538
glp-1,12.8,11.1,-13.281
glp-1,13.0,10.2,-21.538
glp-1,12.8,11.1,-13.281
glp-1,13.0,10.2,-21.538
daf-18,23.8,19.5,-18.067
pptr-1,23.8,22.8,-4.202
daf-18,23.7,18.4,-22.363
pptr-1,23.7,22.3,-5.907
nhr-80,13.5,12.0,-11.111
nhr-80,16.5,15.0,-9.091
cyc-1,19.5,30.0,53.846
cyc-1,16.5,20.0,21.212
fat-2,13.0,15.5,19.231
fat-2,13.0,15.5,19.231
nhr-80,18.0,20.0,11.111
nhr-80,18.5,17.5,-5.405
tcer-1,19.9,18.7,-6.03
daf-16,19.9,16.7,-16.08
tcer-1,19.5,19.0,-2.564
daf-16,19.5,16.7,-14.359
tcer-1,20.8,19.1,-8.173
daf-16,20.8,17.0,-18.269
tcer-1,19.5,17.2,-11.795
daf-16,19.5,16.7,-14.359
tcer-1,18.6,21.5,15.591
tcer-1,18.6,21.5,15.591
tcer-1,18.5,21.2,14.595
tcer-1,18.5,21.2,14.595
daf-2,21.4,34.6,61.682
daf-2,21.4,34.6,61.682
daf-2,21.4,34.6,61.682
daf-2,21.4,34.6,61.682
daf-2,21.4,34.6,61.682
daf-2,21.4,34.6,61.682
daf-2,21.4,34.6,61.682
daf-2,21.4,34.6,61.682
daf-2,21.4,34.6,61.682
daf-2,21.4,34.6,61.682
daf-2,21.4,34.6,61.682
daf-2,21.4,34.6,61.682
daf-2,21.4,34.6,61.682
daf-2,21.4,34.6,61.682
daf-2,21.9,38.1,73.973
daf-2,21.9,38.1,73.973
daf-2,21.9,38.1,73.973
daf-2,21.9,38.1,73.973
daf-2,21.9,38.1,73.973
daf-2,21.9,38.1,73.973
daf-2,21.9,38.1,73.973
daf-2,21.9,38.1,73.973
daf-2,21.9,38.1,73.973
daf-2,21.9,38.1,73.973
daf-2,21.9,38.1,73.973
daf-2,21.9,38.1,73.973
daf-2,21.9,38.1,73.973
daf-2,21.9,38.1,73.973
eat-2,20.96,26.71,27.433
eat-2,20.96,26.71,27.433
eat-2,20.96,26.71,27.433
eat-2,18.89,24.41,29.222
eat-2,18.89,24.41,29.222
eat-2,15.72,22.27,41.667
nhr-62,14.58,17.49,19.959
nhr-62,14.58,17.49,19.959
nhr-62,16.49,16.29,-1.213
nhr-62,16.49,16.29,-1.213
nhr-62,14.92,17.25,15.617
nhr-62,15.92,17.54,10.176
daf-2,14.9,44.6,199.329
daf-2,14.9,44.6,199.329
daf-2,19.5,53.5,174.359
daf-2,21.4,36.3,69.626
daf-2,21.4,36.3,69.626
daf-2,16.5,42.0,154.545
daf-2,16.5,42.0,154.545
daf-2,17.5,45.2,158.286
daf-2,17.5,45.2,158.286
daf-2,17.5,32.8,87.429
daf-2,17.5,32.8,87.429
daf-2,21.4,27.7,29.439
daf-2,14.9,29.7,99.329
daf-2,14.9,29.7,99.329
daf-2,18.6,44.6,139.785
daf-2,18.6,44.6,139.785
daf-2,20.1,38.9,93.532
daf-2,20.1,38.9,93.532
daf-2,20.2,42.5,110.396
daf-2,20.2,42.5,110.396
daf-2,20.2,27.5,36.139
