Pubmed ID,Temperature,Diet,Details,Wild type lifespan (days),Gene 1,Intervention on gene 1,Gene 1 single mutant lifespan (days),"Gene(s) 2(,3)","Intervention(s) on gene 2(,3)","Gene(s) 2(,3) mutant lifespan (days)","Double (triple) mutant (genes 1,2,(3)) lifespan (days)",Phenotype description,Organism
19461873,25,OP50, Late L4 larvae growing at 20°C were transferred to fresh NGM plates with FUdR (5 µg/ml) and incubated at 25°C. The first day of adulthood is Day 1 in survival curves. All lifespan experiments were performed at 25°C.,13.6,hif-1,RNAi,16.1,daf-16,mgDf47,10.5,12.4,"Lifespan extension by hif-1 did not require DAF-16. Inhibition of hif-1 by RNAi extended lifespan of N2 and a daf-16 null mutant to similar levels (18% lifespan extension, p<0.0001).",6239
19461873,25,OP50, Late L4 larvae growing at 20°C were transferred to fresh NGM plates with FUdR (5 µg/ml) and incubated at 25°C. The first day of adulthood is Day 1 in survival curves. All lifespan experiments were performed at 25°C.,13.6,hif-1,RNAi,16.1,daf-2,e1370,29,35,hif-1 RNAi further extended the lifespan of a daf-2 mutant.,6239
19461873,25,OP50, Late L4 larvae growing at 20°C were transferred to fresh NGM plates with FUdR (5 µg/ml) and incubated at 25°C. The first day of adulthood is Day 1 in survival curves. All lifespan experiments were performed at 25°C.,13.6,hif-1,RNAi,16.1,unc-24;daf-15,e138;m634,16.6,16.6,Inhibition of hif-1 by RNAi did not further extend lifespan of a daf-15 heterozygous mutant.,6239
19461873,25,OP50, Late L4 larvae growing at 20°C were transferred to fresh NGM plates with FUdR (5 µg/ml) and incubated at 25°C. The first day of adulthood is Day 1 in survival curves. All lifespan experiments were performed at 25°C.,14,hif-1,ia04,17.3,rsks-1,ok1255,17.1,17,hif-1 did not further extend rsks-1 lifespan.,6239
19461873,25,OP50, Late L4 larvae growing at 20°C were transferred to fresh NGM plates with FUdR (5 µg/ml) and incubated at 25°C. The first day of adulthood is Day 1 in survival curves. All lifespan experiments were performed at 25°C.,14,egl-9,sa307,14.5,rsks-1,ok1255,17.1,14.2,The lifespan extension by a deletion mutant of rsks-1 was fully suppressed by egl-9.,6239
19461873,25,OP50, Late L4 larvae growing at 20°C were transferred to fresh NGM plates with FUdR (5 µg/ml) and incubated at 25°C. The first day of adulthood is Day 1 in survival curves. All lifespan experiments were performed at 25°C.,14.6,egl-9,sa307,14.5,eat-2,ad1116,18.2,15,The egl-9 mutation significantly suppressed the lifespan extension by a strong loss-of-function allele of eat-2. This suggests that EGL-9 is an important regulator of longevity due to a genetic mimic of DR by the eat-2 mutant.,6239
19461873,25,OP50, Late L4 larvae growing at 20°C were transferred to fresh NGM plates with FUdR (5 µg/ml) and incubated at 25°C. The first day of adulthood is Day 1 in survival curves. All lifespan experiments were performed at 25°C.,14,pha-4,RNAi,12.5,hif-1,ia04,17.8,16.5,"pha-4 RNAi slightly reduced lifespan in both N2 and hif-1 backgrounds, but hif-1 extended lifespan of animals treated with control or pha-4 RNAi to a similar level. Thus, lifespan extension by hif-1 does not require PHA-4.",6239
19461873,25,OP50, Late L4 larvae growing at 20°C were transferred to fresh NGM plates with FUdR (5 µg/ml) and incubated at 25°C. The first day of adulthood is Day 1 in survival curves. All lifespan experiments were performed at 25°C.,14.4,ire-1,v33,10,hif-1,ia04,17.5,9.2,The ire-1 mutation fully suppressed lifespan extension by hif-1 both under AL and under DR conditions,6239
19461873,25,OP50, Late L4 larvae growing at 20°C were transferred to fresh NGM plates with FUdR (5 µg/ml) and incubated at 25°C. The first day of adulthood is Day 1 in survival curves. All lifespan experiments were performed at 25°C.,12.4,ire-1,v33,6.6,ifg-1,RNAi,18.5,10.2,Lifespan extension by ifg-1 RNAi is not dependent on ire-1,6239
19461873,25,OP50, Late L4 larvae growing at 20°C were transferred to fresh NGM plates with FUdR (5 µg/ml) and incubated at 25°C. The first day of adulthood is Day 1 in survival curves. All lifespan experiments were performed at 25°C.,14.9,xbp-1,RNAi,13.5,hif-1,ia04,17.8,14.3,"RNAi knocking-down of xbp-1, an essential transcription factor downstream of IRE-1 for ER stress response, suppressed the lifespan extension by hif-1.",6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.5,rsks-1,ok1255,15,daf-2,e1370,33.6,69.3,The daf-2 rsks-1 double mutant showed a synergistic lifespan extension by 454% compared to the wild-type N2,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.7,rsks-1,ok1255,15.2,daf-2,e1370,34.9,70,The daf-2 rsks-1 double mutant showed a synergistic lifespan extension by 454% compared to the wild-type N2,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.5,daf-16,mgDf47,,daf-2;rsks-1,e1370;ok1255,69.3,11.2,The daf-16 deletion fully suppressed the prolonged longevity phenotype by daf-2 rsks-1 ,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.7,daf-16,mgDf47,,daf-2;rsks-1,e1370;ok1255,70,11.8,The daf-16 deletion fully suppressed the prolonged longevity phenotype by daf-2 rsks-1 ,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",13.6,rsks-1,ok1255,15.2,daf-2,e1370,26.7,50.5,The daf-2 rsks-1 double mutant showed a synergistic lifespan extension compared to the wild-type N2,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.8,rsks-1,ok1255,14.5,daf-2,e1370,28.8,50,The daf-2 rsks-1 double mutant showed a synergistic lifespan extension compared to the wild-type N2,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",13.6,aakg-4,RNAi,12.9,rsks-1,ok1255,15.2,15,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.8,aakg-4,RNAi,12.9,rsks-1,ok1255,14.5,13.2,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",13.6,aakg-4,RNAi,12.9,daf-2,e1370,26.7,22,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.8,aakg-4,RNAi,12.9,daf-2,e1370,28.8,21.4,,6239
