chimera,chimera_block_ID,Peak_red_mean,Peak_red_SD,Steady_state_red_mean,Steady_state_red_SD,Peak_green_mean,Peak_green_SD,Steady_state_green_mean,Steady_state_green_SD,Peak_cyan_mean,Peak_cyan_SD,Steady_state_cyan_mean,Steady_state_cyan_SD
CsChrim,c2222222222,-704.2300186,310.1039853,-536.3570786,238.810335,-861.6274588,419.1492491,-786.8179321,375.3924269,-760.5179062,349.2715818,-705.3118057,326.3476802
C1C2,c1111111111,-9.110537529,1.321208683,-0.378916877,0.988998036,-88.86892373,27.39160764,-79.96863556,26.97072958,-452.5213841,106.2589826,-290.3230787,104.0661482
CheRiff,c0000000000,-10.14596367,3.430860094,-0.91293335,1.902255721,-19.72590542,8.171701844,-9.797385216,6.804794463,-306.3589554,213.5280793,-224.4912033,152.9794119
c1,c1000000000,-9.191794395,1.659070773,-0.516411841,0.958557477,-11.82585253,2.281582338,-3.419551304,1.702281444,-143.9061203,26.05696058,-79.53660583,7.968796985
c2,c1222222222,-129.3784409,50.22405243,-66.86269379,44.75847626,-455.2005043,283.6890178,-345.1859131,192.5184543,-228.9173457,146.4934801,-187.4082565,108.907106
c3,c1011111111,-10.5674146,0.405870612,-1.220249176,0.780882315,-24.49429321,3.712827469,-16.60625521,3.856845821,-70.77686691,15.62657058,-55.12800471,8.784847656
c5,c1110111111,-7.575469255,0.890507261,0.212156296,0.452614131,-23.59676276,4.971681256,-15.39777565,5.580596686,-121.7687187,45.6662815,-59.15167194,16.79920986
c6,c1111011111,-8.084725857,0.783534446,0.178667068,0.707130559,-55.91025461,41.39620501,-47.48138864,40.96791041,-302.9650129,246.4910717,-218.7603302,191.3904844
c7,c1111101111,-16.05910492,2.711867425,-8.91811498,3.042879942,-430.2861099,86.19950266,-408.7595367,82.37750325,-1121.853226,733.6654008,-893.5486984,526.6757908
c11,c1111111110,-13.35256863,3.502428589,-1.866609097,1.94970471,-81.4543101,12.95212288,-71.79265213,14.18116227,-349.6387196,95.55458611,-259.7786274,67.30594123
c12,c1211111111,-9.490737915,1.540328979,-0.606704712,0.737106323,-117.423521,16.6601317,-108.7686062,16.83546341,-405.5738953,130.7218599,-295.7184692,68.96152011
c16,c1111121111,-28.69751994,15.20969953,-13.74817912,9.393321081,-29.5479304,5.594264607,-14.49336243,5.064273812,-49.36326599,16.61720914,-28.32552338,14.06885624
c20,c1111111112,-14.71756172,8.015489926,-1.580678304,1.621266057,-163.1217804,59.45976483,-151.9813782,57.30814461,-727.7341766,326.3511793,-487.016627,204.0337046
c21,c1112221221,-52.04626465,15.20148468,-34.66388321,13.92700577,-93.3335673,54.27371606,-79.75861613,57.90783413,-226.2200699,165.3186874,-191.4973526,139.2353745
c37,c0010000000,-9.774646759,1.131594626,-1.406545758,0.743675797,-94.87154484,32.93659803,-84.27701807,32.52175195,-379.7761279,261.4450337,-249.8990687,134.0295627
c39,c0000100000,-9.231699626,1.784357625,-0.423151652,1.072626256,-174.0774963,41.30151955,-161.1852081,41.1466994,-1437.395764,734.8929747,-914.660437,447.0067332
c41,c0000001000,-8.74658076,0.781980063,0.222656886,0.389159831,-247.4652839,86.71826307,-238.5151539,86.55513399,-1443.949249,561.4334351,-1127.647293,357.6801313
c42,c0000000100,-7.555076599,0,0.724098206,0,-22.97881174,8.948014533,-14.15197182,8.944368464,-681.7553177,248.5993209,-457.3441772,151.4928907
c48,c0002000000,-10.30211532,1.819454663,-0.889182687,0.914507372,-18.05310988,3.967436111,-9.083263159,3.53019798,-201.098135,61.47471365,-166.8225975,42.07772788
c49,c0000200000,-10.53036063,3.940356374,-1.116322109,2.651380823,-29.99251011,5.86127559,-19.69322423,6.567935182,-199.9944974,46.1499103,-87.64511108,21.01056743
c50,c0000020000,-12.60593414,1.576713562,-3.721645355,0.825130463,-152.9964294,5.406552637,-143.0671082,6.114223453,-259.1865107,79.51381021,-239.7058741,72.8409491
c52,c0000000200,-10.87789645,3.092474709,0.352654593,3.164202743,-285.6818107,136.3782353,-266.5400194,132.6080513,-1119.386403,459.6829229,-854.7490305,296.3002728
c56,c2022222222,-374.239507,173.7298886,-277.5644531,119.6498879,-535.2722996,148.1165218,-493.8260629,132.0193695,-491.5948524,285.1778893,-433.9442177,236.4204665
c58,c2220222222,-20.82779999,9.156542954,-11.67282028,9.410152768,-64.81810236,31.22857818,-55.53009367,31.62559639,-68.74916225,39.71345169,-60.19165993,38.92633948
c61,c2222220222,-426.2858582,119.3013982,-390.0421244,122.3553703,-653.742627,246.9495631,-583.5674072,218.2738272,-445.9620361,40.1562842,-412.1841329,49.81068167
c62,c2222222022,-8.971130085,1.338627302,-0.287487054,0.507703947,-11.63505135,4.28421044,-0.633467245,0.672621012,-8.737640222,1.049859429,-0.415639122,1.060270939
c64,c2222222220,-486.5019409,430.0944646,-323.8744934,264.6742094,-938.8562546,530.5948735,-797.5339432,415.2900143,-492.1046855,341.7971116,-435.0433858,312.0612442
c66,c2212222222,-42.96374257,22.67665345,-33.17323558,22.23714757,-60.70756849,50.37129937,-48.75559743,49.54728155,-71.29174423,39.96766163,-61.73919169,39.89068126
c67,c2221222222,-16.39567719,4.761635551,-6.099786377,3.98195121,-33.57978589,22.41306596,-21.08808354,22.39079255,-50.40190397,23.80515219,-37.89664187,23.51021744
c70,c2222221222,-559.4740906,82.03310091,-352.8621979,111.6381838,-585.3178231,211.4718174,-506.1557268,190.6805591,-502.2248993,257.7309835,-453.0640717,225.8110117
c71,c2222222122,-47.27675247,26.22920546,-27.06823381,21.07846312,-181.4653784,86.6538105,-139.1483885,70.09464781,-51.87720251,33.62243486,-41.15058422,33.19172139
c73,c2222222221,-364.3579163,125.5211432,-308.2545349,113.6237068,-751.3400497,251.599127,-634.8439674,240.691056,-459.7617696,163.2825085,-419.0339432,167.6735193
c96,c2102121200,-11.40305074,5.858963956,0.240992228,2.395938952,-120.0870331,49.86109479,-100.7654724,44.83753394,-86.10821751,47.14000766,-26.71039581,54.6657945
n1,n0000001000,-8.146388531,0.237667561,-0.255088806,0.070503235,-10.57993174,1.77729514,-1.636974335,1.150426267,-155.0454002,133.3656915,-121.1647713,118.5507761
n2,n2222221222,-16.23080254,4.80548323,-7.605880737,4.384710431,-61.12981567,43.17513082,-41.83374405,31.4065679,-59.60630544,24.23979591,-47.58539454,23.5357444
n4,n1011111111,-9.497056484,1.042548227,-0.642627716,0.472061766,-392.0966583,162.5424096,-359.3219238,151.699884,-960.4234619,298.8845983,-705.2192139,243.2201866
n5,n1101111111,-10.15816116,0.710208893,-1.379112244,0.028556824,-21.3289388,5.33010506,-11.60582479,4.374744855,-138.2183342,99.38794029,-76.75264454,61.4986925
n6,n1110111111,-9.346687317,0.975206373,-0.420865377,0.44356747,-34.93663073,12.24812156,-24.75346756,11.05516401,-248.352626,88.095698,-138.3512009,55.13905133
n7,n1111011111,-8.365013003,0.749634853,-0.252189875,0.657912836,-16.46652426,2.621855287,-8.661471639,2.025619669,-86.06461763,16.70861905,-63.04927301,12.59087779
n10,n1111111101,-12.44401964,2.515162154,-2.831512769,1.293790246,-820.8802083,271.4388333,-807.2195536,268.6103455,-1789.156891,861.7911801,-1225.039413,661.3603818
n11,n1111111110,-9.170081615,0.515697011,-0.598886013,0.503500767,-263.6112518,71.76061562,-254.2224846,71.52427109,-1230.914864,443.2367299,-749.3631744,220.6783148
n13,n1211111111,-9.555194537,0.858310616,-0.935281754,0.642650374,-10.23639997,0.477986005,-1.923412482,0.823744,-14.89263852,2.319437436,-4.39190801,1.298489456
n14,n1121111111,-18.68326855,0.628432274,-0.32304287,1.394761086,-17.98138046,4.520751953,-5.164485931,0.002567291,-24.50542212,12.59913608,-7.090505362,5.346453942
n15,n1112111111,-13.0767072,1.789281464,-2.336921692,1.337320933,-60.90348053,29.124699,-49.98023319,25.43650886,-325.0858765,158.8054917,-215.7670441,87.05542476
n17,n1111121111,-8.009613037,0,0.127838135,0,-14.70947266,0,-2.874031067,0,-16.03197479,0,-4.678466797,0
n18,n1111111211,-12.06020737,2.998079915,-1.336079915,3.959322713,-37.82793045,26.56872415,-28.13331223,25.7574438,-135.72505,57.21198283,-125.0536518,56.4879272
n19,n1111111121,-26.48909076,28.45389982,-13.32844671,25.90157491,-80.30485573,32.62261103,-62.94027748,29.32388248,-202.0435791,119.4699948,-128.4949055,57.55255646
n20,n1111111112,-10.65604992,2.902378645,-2.511594009,2.341729469,-359.5948029,137.2254498,-344.3031518,135.4721179,-639.3838142,247.1974106,-580.7965321,211.3118608
n21,n2212111212,-15.93142509,6.760976638,-2.096342405,2.877226173,-38.82529958,13.38689392,-22.47878774,8.388517362,-53.24940999,11.5950643,-40.82782491,10.55215641
