,"Intervention(s) on gene 2(,3)"
RNAi,1736
e1370,228
e2141ts,124
e1370;mgDf47,105
mu150,96
mu86,85
OE,55
qm150,49
ad1116,42
ok769,38
e1368,33
ok434,32
RNAi;RNAi,25
b26;hc17,22
e1370;ok1255,21
m577,20
ok161,19
qm150; qm189,18
ad465,17
mgDf47,16
xuEx601,15
ok799,14
zu135,13
qm200,12
qm37,12
ok1387,12
ok306,11
ia4,11
zu67,11
ok386,11
zc12,11
xuEx913,10
sa307,9
e2141,9
e2519,9
qm30,8
ok232,8
ok2710,8
ok1255,8
sv31,8
nr2041,8
wuIs152,8
tm5032,8
tm1714,8
tm5030,8
tm5539,7
n1605,7
mg306,7
mg54,7
ok524,6
n1084n3082,6
rh50,6
hx546,6
m26,6
e2400,6
sv32,6
mg455,5
n4426,5
e1372,5
ok275,5
zu129,5
tm1452; e2141ts,5
ks28,4
pk298te,4
ok393,4
tm783,4
ok999,4
tm1452,4
e2141ts; m86,4
ak47,4
gk138,4
ok1744;pk1426,3
ok559,3
pk15,3
n1162,3
ad609,3
e2141ts; rh61rh411,3
ok538,3
n150,3
ok328,3
pk924,3
e1375,3
ok769;ad609,3
mg337,3
e2141ts; rh50,3
mg329,3
ia04,3
ok1030,3
xuEx619,3
fc21,3
tm1818,3
pk1426;nr2037,3
wuIs156,3
qm38,2
ok1251,2
 ok1255,2
tm1108,2
lg601,2
mg451,2
m20,2
RNAi; RNAi,2
d465,2
xuEx1266,2
ok186,2
ut187,2
tm3411,2
nr2004,2
ok198,2
m333,2
ok2916,2
ft15,2
bn2,2
mg144,2
tm1011,2
b26,2
mg344,2
tm2447,2
e928,2
bn2;e1370,2
50%RNAi,2
tm760;tm1246,2
ok3235,2
we3,2
vp1,2
ad1113,2
n179,2
xuEx916,2
RNAi;RNAi;RNAi,2
m27,2
KD,2
p811,2
pk1426,2
pkIs539,2
qm189,2
e1370;n1605,2
e2141ts; tm1011,2
mg450,2
tm1516,2
km2,1
tm783;ok1030;tm760;gk101;tm1146,1
lpIn1,1
tm339,1
sy441,1
m79,1
p813,1
m184,1
km25,1
e979,1
qm164,1
mgDf50,1
ok551,1
25%RNAi,1
wuIs154,1
it47ts,1
e1369,1
tm1978,1
gk15,1
h98;e61;e450,1
pk349,1
p678,1
e1370;m20,1
wuEx123,1
2091,1
qm162,1
tm2308,1
ok1474,1
ok1558;ok1733,1
e1376,1
e138;m634,1
qm169,1
lpEx21,1
geIn3,1
m26;e1370,1
mg348,1
lpEx22,1
mgDf47; e1282,1
tm760,1
ft1,1
m41,1
e1370;sj134,1
ft4,1
tm1530,1
mg44d,1
m889,1
p802,1
mg142,1
m86,1
gk7,1
ok1030;gk101,1
pk1255,1
m65,1
e912,1
ok525;ok393,1
e246,1
qm151,1
e1370; e1282,1
sa709,1
km4,1
mg227,1
qm152,1
m25,1
qm130,1
qm159,1
mg305,1
e1370;lg601,1
ks54,1
