Intervention(s),Counts
e1370,423
e1370;mgDf47,107
qm150,74
mgDf47,68
mu86,66
pk924,59
e2141,56
e2141ts,54
ad1116,48
ad609,47
ad465,46
mu150,43
ia4,42
e1368,41
pk1426;mgDf47,39
ms23,32
ok524,31
zu67,30
ad609;ok769,30
ok1255,26
gk138,26
tm1714,25
e1370;ok1255,25
ok434,24
mu86;e1370,24
ok161,24
m577,23
mg306,22
gk138;qm150,20
qm30,20
ok769;ad609,19
qm150; qm189,19
tm3188,19
ms23;qm150; qm189,18
ia4;ok161,17
e2519,17
sy441,17
hx546,17
nr2041,16
qm200,16
m26,16
zu135,15
cxTi9279,15
pk924;ok434,14
ms23;qm150,14
ia4;mu86,14
mgDf50,13
pk1426,13
ok769,12
n1084n3082,12
sv32,12
ok1387,12
ok1251,11
ok799,11
sa307,11
ok1030,10
qm38,10
qm37,10
ok589,10
xuEx601,9
mgDf47; zu67,9
bn18,9
qm150;n1162,9
tm1818,9
mgDf90,9
ok198,9
gm150,9
ok1255;e1370,8
zc12,8
fc21,8
ok538,8
rh50,8
ia04,8
n1605,8
ok232,8
ok393,7
ne219,7
ok1207,7
e1370;zu67,6
ok999,6
n1162,6
tm1108,6
bn7,6
tm783,6
e1372,6
m577;tm5539,6
m81;e138,6
ad1113,6
ok186,6
rf;m577,6
ok559,6
ar202,6
lg601,6
qm200;n1162,6
e2400,6
tm5539,6
cg116,6
ot1,6
215F;ok769,5
n4426,5
hx546;b26,5
tm1978,5
tm2658;m577,5
ad609;ok232,5
e1370;zu135,5
pk15,5
tm2658,5
xuEx913,5
gk270,5
n2259,5
tm1530,5
215F,5
ok849,5
pk924;mgDf47,5
it57,5
e1370;mu86,5
pk924;n4426,5
ft15,5
pk349,5
ky289,5
ok1744,5
ok1474,5
rr48,5
e1370;zc12,5
tm1422,4
ok837,4
ok525,4
tm2984,4
tm1452,4
ak47,4
e1365,4
tm1011,4
pk298te,4
b26;hc17,4
pk1417,4
sv31,4
ok769;ad609;ks28,4
pkls539,4
mg455,4
ok328,4
mg329,4
xuEx1266,4
ok275,4
e1370;ok799,4
n1540;ok1387,4
gk186,4
KD,4
tm2990,4
tm1978;e2141,4
mu150;b26;hc17,4
mg344,4
ok306,4
wuIs152,4
ok165,4
m26;e1370,4
ok1494,4
d465,4
tm1516,4
zu129,4
n1540,4
ad465;tm1818,3
e1368;zu135,3
ok769;ad609;ok232,3
tm339,3
e1370;nr2041,3
mg337,3
ok769;ad609;mu86,3
m596;zu135,3
