,"All mutants (1770 results, without single mutants)",Mutant type,No. experiments,Change in average lifespan,Unnamed: 4,Epistasis
0,skn-1;trpa-1,Double mutant,1,-11.11%,,
1,skn-1;vang-1,Double mutant,1,27.45%,,
2,sod-1;sod-2,Double mutant,1,65.54%,,
3,sod-1;sod-2;sod-3;sod-4;sod-5,5-mutant,1,15.41%,,
4,sod-1;sod-2;sod-4,Triple mutant,1,31.64%,,
5,sod-1;sod-3,Double mutant,1,18.64%,,
6,sod-1;sod-3;sod-5,Triple mutant,1,6.78%,,
7,sod-1;sod-4,Double mutant,1,-1.13%,,
8,sod-1;sod-5,Double mutant,1,2.82%,,
9,sod-1;xbp-1,Double mutant,2,11.68% ..  27.52%,,
10,sod-2;sod-3,Double mutant,1,41.81%,,
11,sod-2;sod-3;sod-5,Triple mutant,1,14.69%,,
12,sod-2;sod-4,Double mutant,1,51.41%,,
13,sod-2;sod-5,Double mutant,1,38.98%,,
14,sod-3;sod-5,Double mutant,1,12.99%,,
15,taf-4;tpk-1,Double mutant,1,-38.05% .. 151.29%,[est.],
16,tcer-1;tcer-1,Double mutant,4,15.59% ..  32.97%,,
17,trpa-1;unc-43,Double mutant,1,14.05%,,
18,ubc-18;wwp-1,Double mutant,2,-3.76% ..  2.14%,,
19,unc-31;unc-64,Double mutant,1,79.17%,,
20,aak-1;aak-2;frh-1,Triple mutant,1,4.07%,,
21,aak-1;frh-1,Double mutant,1,25.00%,,
22,aak-2;atp-3,Double mutant,2,-40.12% ..  -33.72%,,
23,aak-2;cco-1,Double mutant,2,40.70% ..  48.26%,,
24,aak-2;chc-1,Double mutant,1,-13.30%,,
25,aak-2;cyc-2.1,Double mutant,2,-20.00% ..  -15.87%,,
26,aak-2;daf-16,Double mutant,2,-44.33% ..  -27.00%,,
27,aak-2;daf-16;daf-2,Triple mutant,1,-35.37%,,
28,aak-2;daf-2,Double mutant,7,-14.00% ..  75.78%,,
29,aak-2;daf-2;rsks-1,Triple mutant,7,73.85% ..  175.89%,,
30,aak-2;daf-9,Double mutant,1,10.81%,,
31,aak-2;fasn-1,Double mutant,1,-11.82%,,
32,aak-2;frh-1,Double mutant,2,-5.23% ..  34.30%,,
33,aak-2;ifg-1,Double mutant,1,7.88%,,
34,aak-2;igf-1,Double mutant,1,-12.18%,,
35,aak-2;isp-1,Double mutant,2,31.98% ..  125.58%,,
36,aak-2;let-711,Double mutant,1,-14.78%,,
37,aak-2;mdt-15,Double mutant,1,-39.90%,,
38,aak-2;nmur-1,Double mutant,1,23.21%,,
39,aak-2;nuo-2,Double mutant,2,22.09% ..  30.23%,,
40,aak-2;rsks-1,Double mutant,5,-30.77% ..  1.13%,,
41,aak-2;sca-1,Double mutant,1,-10.84%,,
42,aak-2;sod-1,Double mutant,2,-45.48% .. -184.47%,[est.],
43,aak-2;unc-70,Double mutant,1,-14.78%,,
44,aak-2;xbp-1,Double mutant,3,-20.00% ..  41.45%,,
45,aakb-1;daf-2,Double mutant,5,66.89% ..  101.48%,,
46,aakg-1;daf-2;rff-3,Triple mutant,4,-32.13% .. -130.35%,[est.],
47,aakg-2;daf-2;rff-3,Triple mutant,4,-24.88% .. -100.94%,[est.],
48,aakg-3;daf-2;rff-3,Triple mutant,4,-28.07% .. -113.88%,[est.],
49,aakg-4;aakg-5,Double mutant,2,7.07% ..  25.77%,,
50,aakg-4;aakg-5;daf-2,Triple mutant,2,98.99%,,
51,aakg-4;daf-2,Double mutant,11,61.76% ..  115.32%,,
52,aakg-4;daf-2;rff-3,Triple mutant,6,-42.0% .. -170.35%,[est.],
53,aakg-4;daf-2;rsks-1,Triple mutant,2,90.63% ..  91.18%,,
54,aakg-4;rrf-3,Double mutant,4,-70.13% .. -284.47%,[est.],
55,aakg-4;rsks-1,Double mutant,2,3.12% ..  10.29%,,
56,aakg-5;daf-2,Double mutant,3,74.23% ..  104.04%,,
57,aakg-5;daf-2;rff-3,Triple mutant,5,-48.38% .. -196.24%,[est.],
58,aakg-5;rrf-3,Double mutant,1,-65.2% .. 41.18%,[est.],
59,aap-1;asm-3,Double mutant,1,48.87% .. 503.88%,[est.],
60,aat-2;daf-16;rrf-3,Triple mutant,1,-23.27%,,
61,abu-11;daf-2,Double mutant,4,40.20% ..  123.04%,,
62,acdh-13;daf-16;rrf-3,Triple mutant,1,12.19%,,
63,aco-2;daf-2,Double mutant,2,35.06% .. 142.24%,[est.],
64,acs-5;daf-16;rrf-3,Triple mutant,1,-13.73%,,
65,ada-2;daf-16;daf-2,Triple mutant,1,-41.50%,,
66,ada-2;daf-2,Double mutant,1,95.92%,,
67,age-1;akt-1;sqt-1,Triple mutant,1,83.33%,,
68,age-1;asm-3,Double mutant,1,258.76%,,
69,age-1;cup-4,Double mutant,2,6.43% ..  20.81%,,
70,age-1;daf-16,Double mutant,2,-31.08% ..  -22.84%,,
71,age-1;daf-16;drp1,Triple mutant,1,-33.06%,,
72,age-1;daf-16;fer-15,Triple mutant,1,8.33%,,
