xgb params,mean rmse (k=10),mean stds (k=10)
"{'eta': 0.1, 'n_estimators': 100, 'subsample': 0.6}",-34.79976295949217,2.4782494275096885
"{'eta': 0.1, 'n_estimators': 100, 'subsample': 0.8}",-34.83419948782426,2.474691088939955
"{'eta': 0.1, 'n_estimators': 100, 'subsample': 1.0}",-35.1303360229735,2.190631986551555
"{'eta': 0.1, 'n_estimators': 250, 'subsample': 0.6}",-33.319699476578215,2.70032878454943
"{'eta': 0.1, 'n_estimators': 250, 'subsample': 0.8}",-33.354494490037894,2.7499256467213504
"{'eta': 0.1, 'n_estimators': 250, 'subsample': 1.0}",-33.4828850168816,2.3438735523471097
"{'eta': 0.1, 'n_estimators': 500, 'subsample': 0.6}",-32.854563233710415,2.8127789139334287
"{'eta': 0.1, 'n_estimators': 500, 'subsample': 0.8}",-32.67117699418155,2.8502677246708603
"{'eta': 0.1, 'n_estimators': 500, 'subsample': 1.0}",-32.44710105195273,2.3747206731699135
"{'eta': 0.1, 'n_estimators': 1000, 'subsample': 0.6}",-32.75679816539967,2.8872613180448194
"{'eta': 0.1, 'n_estimators': 1000, 'subsample': 0.8}",-32.54261740887206,2.954231139024537
"{'eta': 0.1, 'n_estimators': 1000, 'subsample': 1.0}",-32.071033807525716,2.5084775690693877
"{'eta': 0.3, 'n_estimators': 100, 'subsample': 0.6}",-33.299053870588445,2.9046508399937205
"{'eta': 0.3, 'n_estimators': 100, 'subsample': 0.8}",-33.16928054013526,2.7675119420658034
"{'eta': 0.3, 'n_estimators': 100, 'subsample': 1.0}",-33.04971799381049,2.3932281490619216
"{'eta': 0.3, 'n_estimators': 250, 'subsample': 0.6}",-32.86940666812573,2.887270197672115
"{'eta': 0.3, 'n_estimators': 250, 'subsample': 0.8}",-32.63668674468081,2.8633798891146207
"{'eta': 0.3, 'n_estimators': 250, 'subsample': 1.0}",-32.17888705117341,2.4822675186144574
"{'eta': 0.3, 'n_estimators': 500, 'subsample': 0.6}",-32.713948610861635,2.813506491118192
"{'eta': 0.3, 'n_estimators': 500, 'subsample': 0.8}",-32.43810472931977,2.8658109507711584
"{'eta': 0.3, 'n_estimators': 500, 'subsample': 1.0}",-32.286305538338716,2.6340730038385707
"{'eta': 0.3, 'n_estimators': 1000, 'subsample': 0.6}",-32.85693459892,3.037296300145367
"{'eta': 0.3, 'n_estimators': 1000, 'subsample': 0.8}",-32.57485941914809,2.936877832392109
"{'eta': 0.3, 'n_estimators': 1000, 'subsample': 1.0}",-32.61105227515645,2.877353482130564
"{'eta': 0.5, 'n_estimators': 100, 'subsample': 0.6}",-32.97992100340256,2.726187135670831
"{'eta': 0.5, 'n_estimators': 100, 'subsample': 0.8}",-32.88956720325435,2.9426094394761355
"{'eta': 0.5, 'n_estimators': 100, 'subsample': 1.0}",-32.316050541516255,2.4165219140871144
"{'eta': 0.5, 'n_estimators': 250, 'subsample': 0.6}",-33.04425685108522,2.8179650231992204
"{'eta': 0.5, 'n_estimators': 250, 'subsample': 0.8}",-32.563391862721815,2.8682746677508577
"{'eta': 0.5, 'n_estimators': 250, 'subsample': 1.0}",-32.204358484483436,2.6967684810130144
"{'eta': 0.5, 'n_estimators': 500, 'subsample': 0.6}",-32.909140375655404,2.638321251256274
"{'eta': 0.5, 'n_estimators': 500, 'subsample': 0.8}",-32.39196366859398,2.828784376278032
"{'eta': 0.5, 'n_estimators': 500, 'subsample': 1.0}",-32.59252988676941,2.8819522822759964
"{'eta': 0.5, 'n_estimators': 1000, 'subsample': 0.6}",-32.97347167130389,2.8649557998333193
"{'eta': 0.5, 'n_estimators': 1000, 'subsample': 0.8}",-32.60697742012077,2.843427946131518
"{'eta': 0.5, 'n_estimators': 1000, 'subsample': 1.0}",-32.8588061460523,2.97325032529791
"{'eta': 1.0, 'n_estimators': 100, 'subsample': 0.6}",-33.41375677194562,2.61178706952216
"{'eta': 1.0, 'n_estimators': 100, 'subsample': 0.8}",-32.81539331979698,3.2630706716268874
"{'eta': 1.0, 'n_estimators': 100, 'subsample': 1.0}",-32.37468595387222,2.8624390744615793
"{'eta': 1.0, 'n_estimators': 250, 'subsample': 0.6}",-33.309912658136604,3.014960319359931
"{'eta': 1.0, 'n_estimators': 250, 'subsample': 0.8}",-32.79869194610568,3.0829030090155656
"{'eta': 1.0, 'n_estimators': 250, 'subsample': 1.0}",-32.78893288655253,3.0349631076682013
"{'eta': 1.0, 'n_estimators': 500, 'subsample': 0.6}",-33.724761789235444,2.9334825127576463
"{'eta': 1.0, 'n_estimators': 500, 'subsample': 0.8}",-32.79159448218047,2.9785092056133697
"{'eta': 1.0, 'n_estimators': 500, 'subsample': 1.0}",-32.99234283458407,3.0777297520300717
"{'eta': 1.0, 'n_estimators': 1000, 'subsample': 0.6}",-33.8613477121852,3.415595037873657
"{'eta': 1.0, 'n_estimators': 1000, 'subsample': 0.8}",-32.752474473189665,3.218688993468221
"{'eta': 1.0, 'n_estimators': 1000, 'subsample': 1.0}",-33.02783268426741,3.0849115047797415
