Gene ID,Entrez Gene ID,Gene Symbol,Gene Name,Organism,Unigene ID,Ensembl ID,UniProt ID,Alias,Lifespan Effect,Phenotype Description,Longevity Influence,Max Lifespan Change,Avg Lifespan Change,Method,Bibliographic reference
1,181727,aak-2,AMP-Activated Kinase,Caenorhabditis elegans,Cel.17479,T01C8.1,,,decrease,Could be a sensor that couples energy levels and insulin-like signals to lifespan. Knockout mutants have a 12% shorter lifespan.,pro,,12,Knockout,"2232: Apfeld et al. (2004) ""The AMP-activated protein kinase AAK-2 links energy levels and insulin-like signals to lifespan in C. elegans.""  Genes Dev. 18(24):3004-3009 (15574588)"
1,181727,aak-2,AMP-Activated Kinase,Caenorhabditis elegans,Cel.17479,T01C8.1,,,decrease,37% decrease in median lifespna in daf-2 background and 54% decrease in lifespan in a wild-type background,pro,,54,RNA interference,"2239: Samuelson et al. (2007) ""Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants.""  Genes Dev. 21(22):2976-2994 (18006689)"
1,181727,aak-2,AMP-Activated Kinase,Caenorhabditis elegans,Cel.17479,T01C8.1,,,increase,Transgenic animals with a higher aak-2 gene dose live on average 13% longer than controls.,pro,,13,Overexpression,"2232: Apfeld et al. (2004) ""The AMP-activated protein kinase AAK-2 links energy levels and insulin-like signals to lifespan in C. elegans.""  Genes Dev. 18(24):3004-3009 (15574588)"
1,181727,aak-2,AMP-Activated Kinase,Caenorhabditis elegans,Cel.17479,T01C8.1,,,increases,"Constitutively activated aak-2 increased worm lifespan however induced detrimental pleiotropic side effects including small body size and a reduced reproductive capacity. Worms also showed increased heat resistance, demonstrating a 125% increase in median lifespan at 33 degrees Celsius compared to wild type animals. The lifespan extension effect was dependent on crtc-1 at low temperatures but not high ones.",pro,,,Overexpression,"4423: Burkewitz et al. (2015) ""Neuronal CRTC-1 governs systemic mitochondrial metabolism and lifespan via a catecholamine signal.""  Cell 160(5):842-855 (25723162)"
1,181727,aak-2,AMP-Activated Kinase,Caenorhabditis elegans,Cel.17479,T01C8.1,,,increases,"Constitutively activated aak-2 increased worm lifespan however induced detrimental pleiotropic side effects including small body size and a reduced reproductive capacity. Worms also showed increased heat resistance, demonstrating a 125% increase in median lifespan at 33 degrees Celsius compared to wild type animals. The lifespan extension effect was dependent on crtc-1 at low temperatures but not high ones.",,,,Overexpression,"4515: Tabrez et al. (2017) ""Differential alternative splicing coupled to nonsense-mediated decay of mRNA ensures dietary restriction-induced longevity.""  Nat Commun 8(1):306 (28824175)"
1,181727,aak-2,AMP-Activated Kinase,Caenorhabditis elegans,Cel.17479,T01C8.1,,,increases,"Constitutively activated aak-2 increased worm lifespan however induced detrimental pleiotropic side effects including small body size and a reduced reproductive capacity. Worms also showed increased heat resistance, demonstrating a 125% increase in median lifespan at 33 degrees Celsius compared to wild type animals. The lifespan extension effect was dependent on crtc-1 at low temperatures but not high ones.",pro,,,Overexpression,"4515: Tabrez et al. (2017) ""Differential alternative splicing coupled to nonsense-mediated decay of mRNA ensures dietary restriction-induced longevity.""  Nat Commun 8(1):306 (28824175)"
1,181727,aak-2,AMP-Activated Kinase,Caenorhabditis elegans,Cel.17479,T01C8.1,,,increases,"Constitutively activated aak-2 increased worm lifespan however induced detrimental pleiotropic side effects including small body size and a reduced reproductive capacity. Worms also showed increased heat resistance, demonstrating a 125% increase in median lifespan at 33 degrees Celsius compared to wild type animals. The lifespan extension effect was dependent on crtc-1 at low temperatures but not high ones.",pro,,,Overexpression,"4515: Tabrez et al. (2017) ""Differential alternative splicing coupled to nonsense-mediated decay of mRNA ensures dietary restriction-induced longevity.""  Nat Commun 8(1):306 (28824175)"
269,181492,aakb-1,AMP-Activated Kinase Beta subunit,Caenorhabditis elegans,Cel.860,F55F3.1,,,decrease,RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.,pro,,,RNA interference,"2290: Ha et al. (2006) ""Caenorhabditis elegans as a screening tool for the endothelial cell-derived putative aging-related proteins detected by proteomic analysis.""  Proteomics 6(11):3339-3351 (16673436)"
752,176552,aakb-2,AMP-Activated Kinase Beta subunit,Caenorhabditis elegans,Cel.9773,Y47D3A.15,,,decrease,RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.,pro,,,RNA interference,"2290: Ha et al. (2006) ""Caenorhabditis elegans as a screening tool for the endothelial cell-derived putative aging-related proteins detected by proteomic analysis.""  Proteomics 6(11):3339-3351 (16673436)"
1849,181736,aakg-2,Protein AAKG-2,Caenorhabditis elegans,,,,,increase,"aakg-2 overexpression extends mean, median, and maximum lifespan by 47, 45, and 35%.",pro,35,47,Overexpression,"2588: Sagi and Kim (2012) ""An engineering approach to extending lifespan in C. elegans.""  PLoS Genet. 8(6):e1002780 (22737090)"
